Species	JanWk1	JanWk2	JanWk3	JanWk4	FebWk1	FebWk2	FebWk3	FebWk4	MarWk1	MarWk2	MarWk3	MarWk4	AprWk1	AprWk2	AprWk3	AprWk4	MayWk1	MayWk2	MayWk3	MayWk4	JunWk1	JunWk2	JunWk3	JunWk4	JulWk1	JulWk2	JulWk3	JulWk4	AugWk1	AugWk2	AugWk3	AugWk4	SepWk1	SepWk2	SepWk3	SepWk4	OctWk1	OctWk2	OctWk3	OctWk4	NovWk1	NovWk2	NovWk3	NovWk4	DecWk1	DecWk2	DecWk3	DecWk4	State
Black-backed Woodpecker	0.0	0.0	0.0015	0.0	0.0	0.0	0.0001225	0.0	0.0	0.000579	0.0001778	0.0001213	0.0	0.0	0.0015	0.0015	0.0001111	0.0002058	0.0004419	0.0001584	0.0001167	0.0004079	0.0003625	0.0019777	0.0015993	0.000757	0.0009592	0.0018887	0.0007524	0.001673	0.0004643	0.0004979	0.0015	0.0	0.0002316	0.0006484	0.0004284	0.0002202	0.0	0.0	0.0	0.0	0.0015	0.0	0.0005511	0.0	0.0	0.0001642	NV
Downy Woodpecker	0.0555162	0.0532305	0.054049	0.0487955	0.0427772	0.0443998	0.0531537	0.0397931	0.0488285	0.0476742	0.0455273	0.0491147	0.058192	0.059884	0.0493635	0.0615102	0.0556729	0.044664	0.038555	0.0265241	0.0278912	0.0221271	0.0256131	0.0243251	0.0298052	0.0367146	0.0383693	0.0355426	0.0351141	0.0296367	0.0457289	0.0478008	0.0496175	0.0551955	0.0504863	0.0473334	0.043916	0.0431623	0.0347271	0.0399581	0.0359383	0.0434069	0.0484119	0.0542373	0.0490493	0.0558266	0.0677553	0.0451486	NV
Nuttall's Woodpecker	0.0	0.0015	0.0	0.0	0.0	0.0001827	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0002316	0.0003242	0.0015	0.0002202	0.0002362	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	NV
Ladder-backed Woodpecker	0.0286078	0.0387657	0.0429049	0.0426577	0.0378499	0.0347159	0.0324556	0.0350179	0.0374089	0.0370585	0.0362796	0.0371089	0.0415435	0.0387208	0.0381895	0.0366937	0.0404489	0.0333436	0.036677	0.033175	0.0208893	0.0146834	0.0094237	0.0088994	0.0107589	0.0096518	0.0167866	0.0166552	0.0238274	0.0155354	0.0141597	0.026556	0.029071	0.036648	0.0358962	0.0367969	0.048629	0.0354547	0.038507	0.0354214	0.0291848	0.0380103	0.0402152	0.03371	0.0352714	0.0308943	0.0363149	0.0367756	NV
Hairy Woodpecker	0.0111882	0.0148505	0.0187593	0.0168789	0.0174692	0.0184542	0.0164115	0.0155193	0.0147667	0.0177572	0.0188511	0.0226777	0.0224055	0.0236714	0.0254597	0.0285825	0.0291143	0.035196	0.0352408	0.0395091	0.0424787	0.0418069	0.0495349	0.0526056	0.0651352	0.0692657	0.0609113	0.0666209	0.0591924	0.0642925	0.0647632	0.0612448	0.0557377	0.0527374	0.0430755	0.040201	0.0377035	0.0369963	0.0370895	0.0265224	0.0190545	0.0145472	0.0151127	0.0145009	0.0173602	0.0143631	0.0207165	0.0149401	NV
White-headed Woodpecker	0.0079309	0.0115718	0.009101	0.011048	0.0085106	0.0045679	0.0073484	0.0077596	0.0049222	0.0092646	0.0096034	0.0105506	0.0108916	0.0145791	0.0123055	0.0127462	0.0152239	0.0168776	0.01403	0.0152811	0.0180885	0.015805	0.020418	0.0196776	0.0219541	0.0202498	0.0172662	0.017342	0.0155505	0.0167304	0.0143918	0.0129461	0.0096175	0.0169832	0.0092635	0.0105366	0.0115681	0.0127725	0.0146468	0.0097714	0.0069947	0.0075082	0.0066598	0.0060264	0.0057867	0.004336	0.0065806	0.0060745	NV
Pileated Woodpecker	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0003638	0.0001556	0.0003135	0.0001414	0.0004828	0.0010001	0.0014408	0.0009943	0.001346	0.0019839	0.0021413	0.0018123	0.0015821	0.0013085	0.0009463	0.0021583	0.0010302	0.0007524	0.001673	0.0004643	0.0004979	0.0006557	0.0013408	0.0004632	0.0004863	0.0002142	0.0002202	0.0004725	0.0	0.0	0.0	0.0	0.0001883	0.0	0.0	0.0002437	0.0001642	NV
Northern Flicker	0.2785724	0.2821601	0.2867756	0.276661	0.2692049	0.267495	0.2556032	0.2614405	0.2606812	0.2661648	0.2468433	0.2083434	0.1781547	0.1426556	0.1121641	0.1093086	0.1013446	0.0960173	0.0989837	0.1029295	0.108064	0.1021719	0.131207	0.1361614	0.1622565	0.1725965	0.1717026	0.1710165	0.151994	0.1333652	0.1520427	0.1475519	0.1479781	0.1689385	0.1975452	0.2890258	0.377892	0.4025545	0.3916844	0.3685221	0.3408104	0.3310652	0.3345287	0.3303202	0.3243318	0.3195122	0.3499878	0.2850107	NV
Gilded Flicker	0.0002832	0.0	0.0009287	0.0004603	0.0015677	0.0003654	0.0015922	0.0023876	0.0011813	0.0013511	0.0024898	0.003153	0.0018671	0.0007838	0.001273	0.0026072	0.0005556	0.0007204	0.0013257	0.0011085	0.0005835	0.0003059	0.0001208	9.89e-05	0.0	0.0001893	0.0002398	0.0005151	0.0002508	0.000239	0.0	0.000166	0.0015	0.0	0.0	0.0001621	0.0015	0.0002202	0.0011812	0.000349	0.0004824	0.0002346	0.0002561	0.0007533	0.0005511	0.000542	0.0002437	0.0003284	NV
Crested Caracara	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0002316	0.0001621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	NV
